Takasu_ST-71 consensus len=473	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Xanthomonadales(1.00),f:Xanthomonadaceae(1.00),g:Pseudoxanthomonas(0.99),s:Pseudoxanthomonas indica(0.73)	+
ST-B3 consensus len=472	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Xanthomonadales(1.00),f:Xanthomonadaceae(1.00),g:Pseudoxanthomonas(1.00),s:Pseudoxanthomonas japonensis(0.97)	+
KS-01-1 consensus len=1336	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Sphingomonadales(1.00),f:Sphingomonadaceae(1.00),g:Sphingobium(1.00),s:Sphingobium algicola(0.20)	+
Kasper_KS-36-2 consensus len=1304	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Alcaligenaceae(1.00),g:Achromobacter(1.00),s:Achromobacter piechaudii(0.92)	+
Kasper_KS-21-2 consensus len=1326	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Rhizobiales(1.00),f:Brucellaceae(0.99),g:Ochrobactrum(0.95),s:Ochrobactrum intermedium(0.93)	+
KS-11-1 consensus len=1329	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Alcaligenaceae(1.00),g:Achromobacter(0.97),s:Achromobacter xylosoxidans(0.66)	+
KS-04-1 consensus len=1300	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Rhizobiales(1.00),f:Methylobacteriaceae(1.00),g:Methylobacterium(1.00),s:Methylobacterium oryzae(0.58)	+
ST-B11 consensus len=447	d:Bacteria(1.00),p:Actinobacteria(1.00),c:Actinobacteria_c(1.00),o:Micrococcales(1.00),f:Microbacteriaceae(1.00),g:Microbacterium(0.98),s:Microbacterium phyllosphaerae(0.55)	+
Takasu_ST-C5 consensus len=445	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Sphingomonadales(1.00),f:Sphingomonadaceae(1.00),g:Sphingobium(0.96),s:Sphingobium yanoikuyae(0.93)	+
KS-10-1 consensus len=1378	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Xanthomonadales(1.00),f:Xanthomonadaceae(1.00),g:Stenotrophomonas(1.00),s:MUYX_s(0.45)	+
ST-A35 consensus len=469	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Xanthomonadales(1.00),f:Xanthomonadaceae(1.00),g:Pseudoxanthomonas(0.99),s:Pseudoxanthomonas indica(0.61)	+
KS-05-1 consensus len=1408	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Ralstonia_f(1.00),g:Cupriavidus(0.98),s:Cupriavidus pampae(0.20)	+
Kasper_KS-26-2 consensus len=1310	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Ralstonia_f(1.00),g:Cupriavidus(0.99),s:Cupriavidus plantarum(0.39)	+
Takasu_ST-83 consensus len=470	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Alcaligenaceae(1.00),g:Achromobacter(1.00),s:Achromobacter xylosoxidans(0.94)	+
Kasper_KS-22-2 consensus len=1326	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Ralstonia_f(1.00),g:Cupriavidus(1.00),s:Cupriavidus plantarum(0.23)	+
ST-D1_1 consensus len=471	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Xanthomonadales(1.00),f:Xanthomonadaceae(1.00),g:Stenotrophomonas(0.99),s:MUYX_s(0.62)	+
Kasper_KS-35-2 consensus len=1297	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Sphingomonadales(1.00),f:Sphingomonadaceae(1.00),g:Sphingobium(1.00),s:Sphingobium czechense(0.17)	+
Takasu_ST-C9-1 consensus len=444	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Rhizobiales(1.00),f:Brucellaceae(0.98),g:Ochrobactrum(0.93),s:Ochrobactrum intermedium(0.83)	+
KS-08-1 consensus len=1334	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Sphingomonadales(1.00),f:Sphingomonadaceae(1.00),g:Sphingobium(1.00),s:Sphingobium czechense(0.17)	+
ST-A29 consensus len=448	d:Bacteria(1.00),p:Actinobacteria(1.00),c:Actinobacteria_c(1.00),o:Micrococcales(1.00),f:Microbacteriaceae(1.00),g:Microbacterium(1.00),s:Microbacterium phyllosphaerae(0.45)	+
Kasper_KS-35-1 consensus len=1295	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Sphingomonadales(1.00),f:Sphingomonadaceae(1.00),g:Sphingobium(1.00),s:Sphingobium algicola(0.19)	+
Kasper_KS-28-2 single-read consensus len=421	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Alcaligenaceae(0.99),g:Achromobacter(0.97),s:Achromobacter piechaudii(0.50)	+
KS-07-1 consensus len=1260	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Sphingomonadales(1.00),f:Sphingomonadaceae(1.00),g:Sphingobium(0.99),s:Sphingobium limneticum(0.22)	+
KS-02-1 consensus len=1297	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Sphingomonadales(1.00),f:Sphingomonadaceae(1.00),g:Sphingobium(1.00),s:Sphingobium limneticum(0.22)	+
Kasper_KS-22-1 single-read consensus len=743	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Ralstonia_f(1.00),g:Cupriavidus(1.00),s:Cupriavidus pampae(0.35)	+
Takasu_ST-7 consensus len=465	d:Bacteria(1.00),p:Bacteroidetes(1.00),c:Sphingobacteriia(1.00),o:Sphingobacteriales(1.00),f:Chitinophagaceae(1.00),g:Chitinophaga(1.00),s:Chitinophaga eiseniae(0.76)	+
Kasper_KS-26-1 consensus len=1325	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Ralstonia_f(1.00),g:Cupriavidus(0.98),s:Cupriavidus pampae(0.25)	+
ST-B5 consensus len=445	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Rhizobiales(1.00),f:Brucellaceae(0.99),g:Ochrobactrum(0.91),s:Ochrobactrum intermedium(0.85)	+
Kasper_KS-33-1 consensus len=1327	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Alcaligenaceae(1.00),g:Achromobacter(0.92),s:Achromobacter insolitus(0.46)	+
Kasper_KS-24-1 consensus len=1335	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Ralstonia_f(1.00),g:Cupriavidus(0.99),s:Cupriavidus plantarum(0.30)	+
Takasu_ST-B8-2 consensus len=472	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Xanthomonadales(1.00),f:Xanthomonadaceae(1.00),g:Pseudoxanthomonas(0.96),s:Pseudoxanthomonas indica(0.67)	+
KS-08-2 consensus len=1332	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Sphingomonadales(1.00),f:Sphingomonadaceae(1.00),g:Sphingobium(1.00),s:Sphingobium czechense(0.23)	+
Kasper_KS-20-1 consensus len=1294	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Sphingomonadales(1.00),f:Sphingomonadaceae(1.00),g:Sphingobium(0.98),s:Sphingobium vermicomposti(0.16)	+
KS-10-2 consensus len=1288	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Xanthomonadales(1.00),f:Xanthomonadaceae(1.00),g:Stenotrophomonas(1.00),s:MUYX_s(0.26)	+
KS-05-2 consensus len=1418	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Ralstonia_f(1.00),g:Cupriavidus(1.00),s:Cupriavidus plantarum(0.38)	+
Kasper_KS-20-2 consensus len=1160	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Sphingomonadales(1.00),f:Sphingomonadaceae(1.00),g:Sphingobium(1.00),s:Sphingobium czechense(0.18)	+
ST-B7 consensus len=446	d:Bacteria(1.00),p:Actinobacteria(1.00),c:Actinobacteria_c(1.00),o:Micrococcales(1.00),f:Microbacteriaceae(1.00),g:Microbacterium(0.99),s:Microbacterium phyllosphaerae(0.47)	+
KS-02-2 consensus len=1079	d:Bacteria(1.00),p:Firmicutes(0.97),c:Bacilli(0.94),o:Bacillales(0.94),f:Staphylococcaceae(0.85),g:Staphylococcus(0.82),s:Staphylococcus warneri(0.09)	+
KS-07-2 consensus len=1302	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Sphingomonadales(1.00),f:Sphingomonadaceae(1.00),g:Sphingobium(1.00),s:Sphingobium limneticum(0.19)	+
Kasper_KS-23-2 consensus len=1322	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Rhizobiales(1.00),f:Methylobacteriaceae(1.00),g:Methylobacterium(1.00),s:Methylobacterium tardum(0.39)	+
Takasu_ST-C4 consensus len=451	d:Bacteria(1.00),p:Actinobacteria(1.00),c:Actinobacteria_c(1.00),o:Micrococcales(1.00),f:Micrococcaceae(1.00),g:Paenarthrobacter(0.73),s:Paenarthrobacter nitroguajacolicus(0.51)	+
KS-06-2 consensus len=1312	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Alcaligenaceae(1.00),g:Achromobacter(0.94),s:Achromobacter insolitus(0.44)	+
Kasper_KS-34-2 consensus len=1403	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Ralstonia_f(1.00),g:Cupriavidus(1.00),s:Cupriavidus pampae(0.24)	+
Kasper_KS-30-2 consensus len=1306	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Alcaligenaceae(1.00),g:Achromobacter(0.94),s:Achromobacter xylosoxidans(0.70)	+
Kasper_KS-29-1 consensus len=1290	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Rhizobiales(1.00),f:Bosea_f(1.00),g:Bosea(1.00),s:Bosea lupini(0.34)	+
Kasper_KS-27-2 consensus len=1359	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Rhizobiales(1.00),f:Bosea_f(1.00),g:Bosea(1.00),s:Bosea lupini(0.27)	+
Takasu_ST-C1 consensus len=444	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Rhizobiales(1.00),f:Brucellaceae(1.00),g:Ochrobactrum(0.93),s:Ochrobactrum intermedium(0.91)	+
Takasu_ST-127 consensus len=468	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Pseudomonadaceae(1.00),g:Pseudomonas(1.00),s:Pseudomonas rhodesiae(0.56)	+
KS-11-2 consensus len=1404	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Alcaligenaceae(1.00),g:Achromobacter(0.97),s:Achromobacter xylosoxidans(0.65)	+
Kasper_KS-27-1 consensus len=1286	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Rhizobiales(1.00),f:Bosea_f(1.00),g:Bosea(1.00),s:Bosea lupini(0.34)	+
Takasu_ST-3 consensus len=884	d:Bacteria(1.00),p:Bacteroidetes(1.00),c:Flavobacteria(1.00),o:Flavobacteriales(1.00),f:Flavobacteriaceae(1.00),g:Chryseobacterium(1.00),s:Chryseobacterium indologenes(0.32)	+
KS-01-2 consensus len=1303	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Sphingomonadales(1.00),f:Sphingomonadaceae(1.00),g:Sphingobium(1.00),s:Sphingobium czechense(0.19)	+
Kasper_KS-30-1 consensus len=1312	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Alcaligenaceae(1.00),g:Achromobacter(0.96),s:Achromobacter xylosoxidans(0.68)	+
Takasu_ST-C2 consensus len=472	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Xanthomonadales(1.00),f:Xanthomonadaceae(1.00),g:Stenotrophomonas(1.00),s:MUYX_s(0.63)	+
ST-10 consensus len=445	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Sphingomonadales(1.00),f:Sphingomonadaceae(0.99),g:Sphingobium(0.97),s:Sphingobium yanoikuyae(0.90)	+
Kasper_KS-34-1 consensus len=1344	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Betaproteobacteria(1.00),o:Burkholderiales(1.00),f:Ralstonia_f(1.00),g:Cupriavidus(1.00),s:Cupriavidus plantarum(0.29)	+
ST-B1 consensus len=444	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Rhizobiales(1.00),f:Brucellaceae(1.00),g:Ochrobactrum(0.93),s:Ochrobactrum intermedium(0.89)	+
Kasper_KS-29-2 consensus len=1361	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Rhizobiales(1.00),f:Bosea_f(1.00),g:Bosea(1.00),s:Bosea lupini(0.29)	+
ST-C7 consensus len=449	d:Bacteria(1.00),p:Actinobacteria(1.00),c:Actinobacteria_c(1.00),o:Micrococcales(1.00),f:Microbacteriaceae(1.00),g:Microbacterium(1.00),s:Microbacterium phyllosphaerae(0.50)	+
KS-09-2 consensus len=1361	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Rhizobiales(1.00),f:Methylobacteriaceae(1.00),g:Methylobacterium(1.00),s:Methylobacterium tardum(0.39)	+
